genres,mean,count
01-Jan-1995,3.3335682641965363,9932
01-Jan-1994,3.425084364454443,8890
01-Jan-1997,3.4594518225487425,7078
01-Jan-1993,3.5248610485203544,6657
01-Jan-1989,3.7161016949152543,2360
01-Jan-1992,3.464764375270212,2313
01-Jan-1990,3.5764818355640537,2092
01-Jan-1991,3.7651395471300684,1899
01-Jan-1986,3.7184278350515463,1552
01-Jan-1982,3.7527472527472527,1456
01-Jan-1984,3.7853196527229676,1267
01-Jan-1987,3.7549956559513467,1151
01-Jan-1980,3.8743267504488332,1114
01-Jan-1979,3.7648114901256733,1114
01-Jan-1981,3.7188434695912265,1003
01-Jan-1974,3.99796126401631,981
01-Jan-1985,3.8206521739130435,920
14-Mar-1997,3.6082698585418935,919
01-Jan-1988,3.723568281938326,908
16-Feb-1996,3.7026066350710902,844
14-Feb-1997,3.7379227053140096,828
01-Jan-1977,4.141809290953545,818
01-Jan-1971,3.703324808184143,782
20-Dec-1996,3.2779255319148937,752
15-Nov-1996,3.5027173913043477,736
13-Dec-1996,3.3683473389355743,714
01-Jan-1975,3.9351988217967597,679
22-Nov-1996,3.78494623655914,651
21-Mar-1997,3.059006211180124,644
01-Jan-1963,3.946875,640
01-Jan-1962,4.159016393442623,610
08-Mar-1996,3.3684210526315788,608
01-Jan-1996,2.8325041459369817,603
25-Dec-1996,3.108658743633277,589
01-Jan-1940,3.88,575
01-Jan-1939,3.993019197207679,573
01-Jan-1967,3.99290780141844,564
11-Jul-1997,3.823843416370107,562
01-Jan-1954,4.040441176470588,544
21-Jun-1996,3.5307692307692307,520
01-Jan-1957,4.01937984496124,516
26-Apr-1996,3.2490196078431373,510
01-Jan-1941,4.030487804878049,492
01-Jan-1951,3.920502092050209,478
09-Feb-1996,3.132911392405063,474
03-Jul-1996,3.375266524520256,469
07-Jun-1996,3.49680170575693,469
01-Jan-1972,4.215811965811966,468
19-Jul-1996,3.476293103448276,464
01-Jan-1959,3.995661605206074,461
01-Jan-1968,3.752314814814815,432
11-Oct-1996,3.3555555555555556,405
01-Jan-1978,3.369727047146402,403
01-Jan-1958,3.84,400
10-May-1996,3.1608040201005023,398
01-Jan-1970,3.8333333333333335,396
18-Oct-1996,3.592,375
04-Oct-1996,3.777173913043478,368
01-Jan-1960,3.9239130434782608,368
22-Aug-1997,2.6887052341597797,363
08-Aug-1997,3.2797783933518008,361
01-Jan-1946,4.08659217877095,358
23-Feb-1996,3.3447293447293447,351
