movie_id,title,mean,count
408,"Close Shave, A (1995)",4.491071428571429,112
318,Schindler's List (1993),4.466442953020135,298
169,"Wrong Trousers, The (1993)",4.466101694915254,118
483,Casablanca (1942),4.45679012345679,243
114,Wallace & Gromit: The Best of Aardman Animation (1996),4.447761194029851,67
64,"Shawshank Redemption, The (1994)",4.445229681978798,283
603,Rear Window (1954),4.3875598086124405,209
12,"Usual Suspects, The (1995)",4.385767790262173,267
50,Star Wars (1977),4.3584905660377355,583
178,12 Angry Men (1957),4.344,125
513,"Third Man, The (1949)",4.333333333333333,72
134,Citizen Kane (1941),4.292929292929293,198
427,To Kill a Mockingbird (1962),4.292237442922374,219
357,One Flew Over the Cuckoo's Nest (1975),4.291666666666667,264
98,"Silence of the Lambs, The (1991)",4.28974358974359,390
480,North by Northwest (1959),4.284916201117318,179
127,"Godfather, The (1972)",4.283292978208232,413
285,Secrets & Lies (1996),4.265432098765432,162
272,Good Will Hunting (1997),4.262626262626263,198
657,"Manchurian Candidate, The (1962)",4.259541984732825,131
474,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),4.252577319587629,194
174,Raiders of the Lost Ark (1981),4.252380952380952,420
479,Vertigo (1958),4.251396648044692,179
313,Titanic (1997),4.2457142857142856,350
511,Lawrence of Arabia (1962),4.23121387283237,173
484,"Maltese Falcon, The (1941)",4.2101449275362315,138
172,"Empire Strikes Back, The (1980)",4.204359673024523,367
515,"Boot, Das (1981)",4.203980099502488,201
488,Sunset Blvd. (1950),4.2,65
223,Sling Blade (1996),4.198529411764706,136
316,As Good As It Gets (1997),4.196428571428571,112
187,"Godfather: Part II, The (1974)",4.186602870813397,209
498,"African Queen, The (1951)",4.184210526315789,152
199,"Bridge on the River Kwai, The (1957)",4.175757575757576,165
170,Cinema Paradiso (1988),4.1735537190082646,121
173,"Princess Bride, The (1987)",4.172839506172839,324
191,Amadeus (1984),4.163043478260869,276
302,L.A. Confidential (1997),4.161616161616162,297
100,Fargo (1996),4.155511811023622,508
923,Raise the Red Lantern (1991),4.155172413793103,58
22,Braveheart (1995),4.151515151515151,297
493,"Thin Man, The (1934)",4.15,60
89,Blade Runner (1982),4.138181818181818,275
190,Henry V (1989),4.137096774193548,124
654,Chinatown (1974),4.136054421768708,147
528,"Killing Fields, The (1984)",4.132231404958677,121
136,Mr. Smith Goes to Washington (1939),4.123809523809523,105
496,It's a Wonderful Life (1946),4.121212121212121,231
23,Taxi Driver (1976),4.1208791208791204,182
166,Manon of the Spring (Manon des sources) (1986),4.120689655172414,58
192,Raging Bull (1980),4.120689655172414,116
489,Notorious (1946),4.115384615384615,52
478,"Philadelphia Story, The (1940)",4.115384615384615,104
165,Jean de Florette (1986),4.109375,64
189,"Grand Day Out, A (1992)",4.106060606060606,66
520,"Great Escape, The (1963)",4.104838709677419,124
197,"Graduate, The (1967)",4.104602510460251,239
487,Roman Holiday (1953),4.102941176470588,68
661,High Noon (1952),4.1022727272727275,88
185,Psycho (1960),4.100418410041841,239
315,Apt Pupil (1998),4.1,160
519,"Treasure of the Sierra Madre, The (1948)",4.1,80
647,Ran (1985),4.1,70
48,Hoop Dreams (1994),4.094017094017094,117
659,Arsenic and Old Lace (1944),4.078260869565217,115
132,"Wizard of Oz, The (1939)",4.0772357723577235,246
651,Glory (1989),4.076023391812866,171
168,Monty Python and the Holy Grail (1974),4.0664556962025316,316
83,Much Ado About Nothing (1993),4.0625,176
56,Pulp Fiction (1994),4.060913705583756,394
59,Three Colors: Red (1994),4.0602409638554215,83
194,"Sting, The (1973)",4.058091286307054,241
633,"Christmas Carol, A (1938)",4.057971014492754,69
124,Lone Star (1996),4.053475935828877,187
615,"39 Steps, The (1935)",4.0508474576271185,59
45,Eat Drink Man Woman (1994),4.05,80
606,All About Eve (1950),4.045454545454546,66
180,Apocalypse Now (1979),4.04524886877828,221
79,"Fugitive, The (1993)",4.044642857142857,336
183,Alien (1979),4.034364261168385,291
648,"Quiet Man, The (1952)",4.029850746268656,67
709,Strictly Ballroom (1992),4.028846153846154,104
525,"Big Sleep, The (1946)",4.027397260273973,73
530,"Man Who Would Be King, The (1975)",4.025,80
